Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,NRSC IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC IE,,KPHO-TV
2018,,State,MARK MANOIL FOR AZ TREASURER D,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/MARK MANOIL FOR AZ TREASURER D,,KPHO-TV
2018,,State,DAVID GARCIA FOR GOVERNOR,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/DAVID GARCIA FOR GOVERNOR,,KPHO-TV
2018,,State,D DUCEY AZRP,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/D DUCEY AZRP,,KPHO-TV
2018,,State,KATIE HOBBS SEC OF STATE AZ DEM PARTY,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/KATIE HOBBS SEC OF STATE AZ DEM PARTY,,KPHO-TV
2018,,State,STEVE FARLEY FOR GOVERNOR,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/STEVE FARLEY FOR GOVERNOR,,KPHO-TV
2018,,State,STEVE GAYNOR FOR AZ SECRETARY STATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/STEVE GAYNOR FOR AZ SECRETARY STATE,,KPHO-TV
2018,,State,DANIEL VALENZUELA FOR PHOENIX,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/DANIEL VALENZUELA FOR PHOENIX,,KPHO-TV
2018,,State,K GALLEGO FOR PHOENIX MAYOR D,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/K GALLEGO FOR PHOENIX MAYOR D,,KPHO-TV
2018,,State,AZ DEM PARTY JANUARY CONTRERAS FOR AG,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/AZ DEM PARTY JANUARY CONTRERAS FOR AG,,KPHO-TV
2018,,State,AZ REPUBLICAN PARTY FOR MARK BRNOVICH ATT GEN,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/AZ REPUBLICAN PARTY FOR MARK BRNOVICH ATT GEN,,KPHO-TV
2018,,State,AZ DEM ON BEHALF OF KATIE HOBBS AZ SEC OF STATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/AZ DEM ON BEHALF OF KATIE HOBBS AZ SEC OF STATE,,KPHO-TV
2018,,State,D DUCEY R GOV AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/D DUCEY R GOV AZ,,KPHO-TV
2018,,State,KATHY HOFFMAN FOR SUPERINTENDENT,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/KATHY HOFFMAN FOR SUPERINTENDENT,,KPHO-TV
2018,,State,MARK BRNOVICH FOR AZ ATTORNEY GENERAL,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/State/MARK BRNOVICH FOR AZ ATTORNEY GENERAL,,KPHO-TV
2018,,Federal,DSCC - Sinema For Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US Senate/DSCC - Sinema For Arizona,,KSAZ-TV
2018,,Federal,Sinema For Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US Senate/Sinema For Arizona,,KSAZ-TV
2018,,Federal,NRSC - McSally For US Senate,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US Senate/NRSC - McSally For US Senate,,KSAZ-TV
2018,,Federal,McSally for US Senate,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US Senate/McSally for US Senate,,KSAZ-TV
2018,,Federal,DCCC - Tom OHalleran For Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/DCCC - Tom OHalleran For Congress,,KSAZ-TV
2018,,Federal,Ruben Gallego -- Dem - District 7,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Ruben Gallego -- Dem - District 7,,KSAZ-TV
2018,,Federal,Tiffany Shedd -- Rep - District 1,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Tiffany Shedd -- Rep - District 1,,KSAZ-TV
2018,,Federal,Greg Stanton -- Dem - District 9,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Greg Stanton -- Dem - District 9,,KSAZ-TV
2018,,Federal,Tom OHalleran -- Dem - District 1,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Tom OHalleran -- Dem - District 1,,KSAZ-TV
2018,,Federal,Hiral Tipirneni,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Hiral Tipirneni,,KSAZ-TV
2018,,Federal,NRCC Lesko For Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/NRCC Lesko For Congress,,KSAZ-TV
2018,,Federal,Wendy Rogers for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Wendy Rogers for Congress,,KSAZ-TV
2018,,Federal,Steve Ferrara -- Rep - District 9,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Federal/US House/Steve Ferrara -- Rep - District 9,,KSAZ-TV
2018,,Local,Kate Gallego For Phoenix - Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Local/Kate Gallego For Phoenix - Mayor,,KSAZ-TV
2018,,Local,Daniel Valenzuela for Phoenix Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Local/Daniel Valenzuela for Phoenix Mayor,,KSAZ-TV
2018,,Non-Candidate Issue Ads,45 Committee,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Majority Forward  Vote Vets PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward  Vote Vets PAC,,KSAZ-TV
2018,,Non-Candidate Issue Ads,AFSCME People,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME People,,KSAZ-TV
2018,,Non-Candidate Issue Ads,TAX MARCH,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/TAX MARCH,,KSAZ-TV
2018,,Non-Candidate Issue Ads,US Chamber of Commerce,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/US Chamber of Commerce,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Arizona Republican Party -  AZGOP,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party -  AZGOP,,KSAZ-TV
2018,,Non-Candidate Issue Ads,Tom Steyer Issue Campaign,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Tom Steyer Issue Campaign,,KSAZ-TV
