Cycle,District,Jurisdiction,Name,Path,Race,Station,NameSimpl,Party
2018,,Non-Candidate Issue Ads,Arizona For Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona For Freedom,,KSAZ-TV,Arizona For Freedom,
2018,,Non-Candidate Issue Ads,Arizona for Freedom,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,,KNXV-TV,Arizona for Freedom,
2018,,Non-Candidate Issue Ads,Arizona for Freedom 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom 2018,,KPNX,Arizona for Freedom ,
2018,,Non-Candidate Issue Ads,Arizonans For Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/Arizonans For Affordable Electricity,,KUTP,Arizonans For Affordable Electricity,
2018,,Non-Candidate Issue Ads,Arizonans For Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans For Affordable Electricity,,KSAZ-TV,Arizonans For Affordable Electricity,
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KASW,Arizonans for Affordable Electricity,
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KNXV-TV,Arizonans for Affordable Electricity,
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,,KAZT-TV,Chispa ARIZONA PAC,
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,,KNXV-TV,Chispa ARIZONA PAC,
2018,,Non-Candidate Issue Ads,Chispa AZ Pac 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ Pac 2018,,KPNX,Chispa ARIZONA Pac ,
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax,,KAZT-TV,Citizens for Fair Tax,
