Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26122540.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26131257.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26141402.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26206584.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form 1615755.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form 26110225.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB Form.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema 26237212 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema 26237212.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26206584.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26215353.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26219610.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26220166.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26226336.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema for US Senate 26227072.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26206584.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26215353.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26219610.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26220166.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26226336.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Sinema NAB 26227072.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114953.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26126650.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC/Kyrsten Sinema DSCC 2.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC/Sinema- 26228675.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/Kyrsten Sinema 1615755-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/Kyrsten Sinema 26102782-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/Kyrsten Sinema 26110225-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally 26228554 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally 26228554.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26117853-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26117853.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26134795-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate 26134795.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate NAB 26134795.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally for Senate NAB.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally NAB 26224572.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26224572.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26229919 NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate/McSally US Senate 26229919.pdf,Scraping Error
