Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName
2018,,State,Brnovich for Attorney General - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Brnovich for Attorney General - GENERAL ELECTION,Attorney General,KNXV-TV,,Brnovich   ,Arizona Republican Party - Mark Brnovich for AZ
2018,,State,Ducey Republican Governor - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - GENERAL ELECTION,Governor,KNXV-TV,Republican,Ducey   ,D DUCEY AZRP
2018,,State,Ducey Republican Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - PRIMARY ELECTION,Governor,KNXV-TV,Republican,Ducey   ,D DUCEY AZRP
2018,,State,Farley for Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Farley for Governor - PRIMARY ELECTION,Governor,KNXV-TV,,Farley   ,Farley for Governor - PRIMARY ELECTION
2018,,State,Garcia for Governor - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Garcia for Governor - GENERAL ELECTION,Governor,KNXV-TV,,Garcia   ,Garcia for Governor - GENERAL ELECTION
2018,,State,Garcia for Governor - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Garcia for Governor - PRIMARY ELECTION,Governor,KNXV-TV,,Garcia   ,Garcia for Governor - GENERAL ELECTION
2018,,State,Gaynor for AZ Secretary of State - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,,Gaynor    ,Gaynor for AZ Secretary of State - GENERAL ELECTION
2018,,State,Gaynor for AZ Secretary of State - PRIMARY ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - PRIMARY ELECTION,Secretary of State,KNXV-TV,,Gaynor    ,Gaynor for AZ Secretary of State - GENERAL ELECTION
2018,,State,Hoffman Democrat State Superintendent - GENERAL ELECTION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Hoffman Democrat State Superintendent - GENERAL ELECTION,Superintendent of Public Instruction,KNXV-TV,Democrat,Hoffman   ,Hoffman Democrat State Superintendent - GENERAL ELECTION
2018,,State,Lieberman Democrat State House District 28,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/State/Lieberman Democrat State House District 28,House,KNXV-TV,Democrat,Lieberman  State  District 28,Lieberman Democrat State House District 28
