Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26122540.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26126650-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26126650.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-2 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509 revised.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509-1 Invoice.pdf,invoices Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26141402-1.pdf,ordersScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26141402.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778-1.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778.pdf,contracts Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26152243 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26152243.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26206584.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114925.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114931.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114947.pdf,No parser written for file.
